gyrate (nm),Systems
2.32671,Wild
2.34155,Wild
2.33846,Wild
2.33628,Wild
2.34881,Wild
2.3388,Wild
2.32384,Wild
2.33047,Wild
2.32408,Wild
2.34052,Wild
2.34346,Wild
2.3346,Wild
2.34664,Wild
2.33971,Wild
2.33409,Wild
2.33451,Wild
2.32399,Wild
2.31923,Wild
2.3332,Wild
2.32542,Wild
2.33838,Wild
2.34769,Wild
2.3304,Wild
2.33393,Wild
2.33185,Wild
2.35,Wild
2.35286,Wild
2.33887,Wild
2.3429,Wild
2.34458,Wild
2.34334,Wild
2.34415,Wild
2.3438,Wild
2.33964,Wild
2.36299,Wild
2.34431,Wild
2.33227,Wild
2.33978,Wild
2.31804,Wild
2.32321,Wild
2.30259,Wild
2.28791,Wild
2.29045,Wild
2.30287,Wild
2.31123,Wild
2.31562,Wild
2.31206,Wild
2.33423,Wild
2.3289,Wild
2.31537,Wild
2.32941,Wild
2.32087,Wild
2.32691,Wild
2.32313,Wild
2.33344,Wild
2.31482,Wild
2.31715,Wild
2.32668,Wild
2.32166,Wild
2.33003,Wild
2.31723,Wild
2.32712,Wild
2.33066,Wild
2.3191,Wild
2.30237,Wild
2.29796,Wild
2.31925,Wild
2.32228,Wild
2.31481,Wild
2.31965,Wild
2.31435,Wild
2.30914,Wild
2.29592,Wild
2.30496,Wild
2.30651,Wild
2.32232,Wild
2.32417,Wild
2.30333,Wild
2.31412,Wild
2.29823,Wild
2.30755,Wild
2.29946,Wild
2.31632,Wild
2.30452,Wild
2.31047,Wild
2.31555,Wild
2.3179,Wild
2.30369,Wild
2.30527,Wild
2.31645,Wild
2.31397,Wild
2.31157,Wild
2.31862,Wild
2.33271,Wild
2.3379,Wild
2.33701,Wild
2.32021,Wild
2.3319,Wild
2.321,Wild
2.32893,Wild
2.31337,Wild
2.30685,Wild
2.30864,Wild
2.31498,Wild
2.31121,Wild
2.30179,Wild
2.30646,Wild
2.32064,Wild
2.32329,Wild
2.31429,Wild
2.30848,Wild
2.31531,Wild
2.31087,Wild
2.31465,Wild
2.30594,Wild
2.30966,Wild
2.30652,Wild
2.31619,Wild
2.29883,Wild
2.31402,Wild
2.31267,Wild
2.3017,Wild
2.31338,Wild
2.32311,Wild
2.31439,Wild
2.32266,Wild
2.3202,Wild
2.32325,Wild
2.30828,Wild
2.31744,Wild
2.31254,Wild
2.30928,Wild
2.29808,Wild
2.30586,Wild
2.3058,Wild
2.29423,Wild
2.30651,Wild
2.30506,Wild
2.28521,Wild
2.30251,Wild
2.29877,Wild
2.29629,Wild
2.28964,Wild
2.29148,Wild
2.28999,Wild
2.30012,Wild
2.28877,Wild
2.31497,Wild
2.30851,Wild
2.29889,Wild
2.30164,Wild
2.31438,Wild
2.31082,Wild
2.30666,Wild
2.30776,Wild
2.29874,Wild
2.30002,Wild
2.29314,Wild
2.30322,Wild
2.31398,Wild
2.31114,Wild
2.31847,Wild
2.30004,Wild
2.31401,Wild
2.30199,Wild
2.3198,Wild
2.29922,Wild
2.31064,Wild
2.29531,Wild
2.30578,Wild
2.29816,Wild
2.31012,Wild
2.31768,Wild
2.31803,Wild
2.31085,Wild
2.3207,Wild
2.32522,Wild
2.30757,Wild
2.318,Wild
2.31055,Wild
2.31221,Wild
2.30827,Wild
2.29186,Wild
2.29965,Wild
2.30745,Wild
2.31861,Wild
2.3075,Wild
2.3079,Wild
2.30012,Wild
2.29506,Wild
2.32163,Wild
2.31887,Wild
2.3187,Wild
2.29115,Wild
2.30201,Wild
2.31521,Wild
2.30393,Wild
2.30892,Wild
2.30257,Wild
2.30067,Wild
2.30957,Wild
2.3022,Wild
2.30792,Wild
2.32047,Wild
2.31629,Wild
2.31442,Wild
2.30541,Wild
2.3128,Wild
2.29234,Wild
2.29272,Wild
2.29143,Wild
2.31266,Wild
2.28534,Wild
2.28488,Wild
2.27622,Wild
2.27973,Wild
2.28065,Wild
2.26671,Wild
2.28187,Wild
2.28027,Wild
2.27775,Wild
2.28103,Wild
2.29973,Wild
2.31199,Wild
2.31768,Wild
2.31551,Wild
2.30629,Wild
