"","V1"
"360",0.1399782
"361",0.142585
"362",0.1407009
"363",0.1413708
"364",0.1432747
"365",0.1333368
"366",0.1305465
"367",0.1337814
"368",0.1329807
"369",0.1445163
"370",0.1453334
"371",0.1582771
"372",0.1409908
"373",0.1318123
"374",0.1433309
"375",0.1481362
"376",0.1472597
"377",0.1397453
"378",0.1411747
"379",0.1328406
"380",0.1344103
"381",0.135286
"382",0.1459811
"383",0.126987
"384",0.1547569
"385",0.147856
"386",0.1265529
"387",0.1229879
"388",0.1309672
"389",0.1430609
"390",0.1449668
"391",0.1445633
"392",0.1527465
"393",0.1483617
"394",0.1574345
"395",0.1528858
"396",0.1382594
"397",0.1281971
"398",0.1427419
"399",0.1448798
"400",0.1426425
"401",0.1614807
"402",0.1692857
"403",0.1807888
"404",0.1707834
"405",0.1809943
"406",0.1597709
"407",0.1815197
"408",0.162563
"409",0.1664395
"410",0.1664816
"411",0.1630628
"412",0.1442236
"413",0.123458
"414",0.1575058
"415",0.150545
"416",0.1612131
"417",0.1685162
"418",0.1667009
"419",0.1846909
"420",0.1627702
"421",0.1840243
"422",0.1722583
"423",0.1744044
"424",0.143933
"425",0.1508485
"426",0.1498711
"427",0.1710526
"428",0.1592051
"429",0.1741548
"430",0.1524897
"431",0.153572
"432",0.1520008
"433",0.1637689
"434",0.1925265
"435",0.1811567
"436",0.1677316
"437",0.1746038
"438",0.1783299
"439",0.1578803
"440",0.1566533
"441",0.1549649
"442",0.170066
"443",0.1560618
"444",0.1560742
"445",0.1356234
"446",0.1530534
"447",0.129572
"448",0.1570748
"449",0.1614875
"450",0.1655577
"451",0.1509764
"452",0.1648437
"453",0.1577018
"454",0.1572995
"455",0.1691602
"456",0.1699456
"457",0.1631022
"458",0.1840676
"459",0.1766908
"460",0.1709511
"461",0.1660287
"462",0.1696151
"463",0.1934175
"464",0.181944
"465",0.1714349
"466",0.2009309
"467",0.2106014
"468",0.2088846
"469",0.1880807
"470",0.1532119
"471",0.1511728
"472",0.131532
"473",0.1297245
"474",0.1268044
"475",0.1399978
"476",0.1224041
"477",0.1265166
"478",0.1338057
"479",0.1261362
"480",0.128669
"481",0.1147219
"482",0.1224686
"483",0.1165484
"484",0.1154364
"485",0.1228467
"486",0.119641
"487",0.1233891
"488",0.1195485
"489",0.1140772
"490",0.135444
"491",0.1303132
"492",0.1259068
"493",0.125466
"494",0.1328387
"495",0.1491612
"496",0.1383778
"497",0.1230583
"498",0.1184565
"499",0.1158504
"500",0.1285735
"501",0.1325157
"502",0.1218387
"503",0.1286273
"504",0.1138928
"505",0.1205439
"506",0.1098884
"507",0.1167117
"508",0.1227931
"509",0.1420189
"510",0.1338736
"511",0.128251
"512",0.1299393
"513",0.1230462
"514",0.1387476
"515",0.164229
"516",0.184447
"517",0.1842735
"518",0.2152552
"519",0.2246524
"520",0.2003555
"521",0.1878002
"522",0.2024258
"523",0.1788484
"524",0.1524587
"525",0.1552755
"526",0.1558727
"527",0.1359583
"528",0.145039
"529",0.1392863
"530",0.1273711
"531",0.1424566
"532",0.1139438
"533",0.1177117
"534",0.1053327
"535",0.1233367
"536",0.1341491
"537",0.1248632
"538",0.1285856
"539",0.1459651
"540",0.1321653
"541",0.130864
"542",0.1103364
"543",0.1339067
"544",0.1147577
"545",0.1290851
"546",0.1322785
"547",0.1358636
"548",0.1304714
"549",0.1358908
"550",0.1282054
"551",0.1232555
"552",0.1485748
"553",0.1496833
"554",0.1511558
"555",0.1630214
"556",0.1571511
"557",0.1826348
"558",0.1614449
"559",0.1569138
"560",0.1549941
"561",0.1628903
"562",0.1570343
"563",0.1513134
"564",0.1276975
"565",0.1318742
"566",0.1234932
"567",0.1379435
"568",0.146561
"569",0.1346626
"570",0.1592173
"571",0.1537291
"572",0.143379
"573",0.1477637
"574",0.1528708
"575",0.1552999
"576",0.1507642
"577",0.1602163
"578",0.1408406
"579",0.1406824
"580",0.1529553
"581",0.1449096
"582",0.1870009
"583",0.1749062
"584",0.177068
"585",0.1687942
"586",0.1407281
"587",0.162892
"588",0.1772773
"589",0.1549334
"590",0.1718602
"591",0.1814085
"592",0.1415785
"593",0.1248866
"594",0.1407761
"595",0.1542764
"596",0.1725602
"597",0.1745351
"598",0.1614449
"599",0.1989254
"600",0.1980427
"601",0.1898183
"602",0.2011362
"603",0.2149135
"604",0.2033247
"605",0.2103386
"606",0.2064522
"607",0.1645808
"608",0.1702972
"609",0.1919647
"610",0.179566
"611",0.1528139
"612",0.1593283
"613",0.1947079
"614",0.1791891
"615",0.1803279
"616",0.1615276
"617",0.198213
"618",0.2163342
"619",0.2017422
"620",0.1912644
"621",0.1545668
"622",0.1936257
"623",0.1957
"624",0.1961983
"625",0.2091748
"626",0.2022306
"627",0.1966425
"628",0.2015609
"629",0.192833
"630",0.2071302
"631",0.2219954
"632",0.2002397
"633",0.1637642
"634",0.1676872
"635",0.1807284
"636",0.1900077
"637",0.1805315
"638",0.1534283
"639",0.1553752
"640",0.1416532
"641",0.1405756
"642",0.1453903
"643",0.1504917
"644",0.1650875
"645",0.1476267
"646",0.1655476
"647",0.1208715
"648",0.1088891
"649",0.1183135
"650",0.1366566
"651",0.1177823
"652",0.1190945
"653",0.1305473
"654",0.1450332
"655",0.137353
"656",0.1337646
"657",0.1372521
"658",0.119079
"659",0.1321013
"660",0.1384193
"661",0.1341952
"662",0.122974
"663",0.1311253
"664",0.1293849
"665",0.1154543
"666",0.1539902
"667",0.173789
"668",0.1753868
"669",0.1903942
"670",0.1675512
"671",0.1481129
"672",0.1893305
"673",0.1791677
"674",0.1836273
"675",0.1600161
"676",0.1714628
"677",0.1856671
"678",0.1503487
"679",0.1934456
"680",0.2010852
"681",0.215269
"682",0.2007879
"683",0.1894962
"684",0.1672773
"685",0.1507191
"686",0.142331
"687",0.1650263
"688",0.1521142
"689",0.1722578
"690",0.1634238
"691",0.1587653
"692",0.1739051
"693",0.2011681
"694",0.194589
"695",0.2194966
"696",0.1913498
"697",0.2027311
"698",0.1866432
"699",0.1965736
"700",0.1978358
"701",0.2056028
"702",0.2045917
"703",0.1769358
"704",0.1959152
"705",0.2031329
"706",0.2046913
"707",0.1893043
"708",0.1871243
"709",0.181719
"710",0.1993328
"711",0.1939184
"712",0.1849647
"713",0.1656919
"714",0.1714562
"715",0.1949412
"716",0.224769
"717",0.2311876
"718",0.2157007
"719",0.2309622
"720",0.2507741
"721",0.2412828
"722",0.2414579
"723",0.2061186
"724",0.2079184
"725",0.202044
"726",0.2010613
"727",0.1858197
"728",0.1905573
"729",0.1759671
"730",0.1733632
"731",0.1805883
"732",0.1604486
"733",0.1478569
"734",0.2005849
"735",0.1906181
"736",0.1786156
"737",0.1605857
"738",0.1516915
"739",0.1439811
"740",0.128179
"741",0.1304027
"742",0.1438462
"743",0.1472475
"744",0.1549431
"745",0.1667009
"746",0.1278679
"747",0.1126497
"748",0.1482835
"749",0.1490253
"750",0.1547283
"751",0.1417944
"752",0.1517312
"753",0.1548242
"754",0.1632847
"755",0.1495155
"756",0.1365871
"757",0.1775595
"758",0.1847034
"759",0.1940099
"760",0.1890752
"761",0.1808972
"762",0.1814884
"763",0.1689788
"764",0.1820828
"765",0.1864894
"766",0.1760764
"767",0.1675661
"768",0.1972671
"769",0.1981047
"770",0.1884864
"771",0.1906042
"772",0.143901
"773",0.184662
"774",0.2341211
"775",0.2214181
"776",0.1736195
"777",0.1784812
"778",0.1993999
"779",0.1828202
"780",0.2075521
"781",0.1782814
"782",0.1631545
"783",0.1581394
"784",0.1594864
"785",0.1789108
"786",0.1890881
"787",0.1728888
"788",0.1734968
"789",0.1799352
"790",0.1595715
"791",0.1443144
"792",0.1458232
"793",0.1420097
"794",0.1267001
"795",0.1483144
