rmsd (nm),Systems
0.1183697,Wild
0.1272855,Wild
0.1317963,Wild
0.1512711,Wild
0.1555552,Wild
0.1698051,Wild
0.1682765,Wild
0.141929,Wild
0.1551191,Wild
0.1578022,Wild
0.1541533,Wild
0.1989882,Wild
0.1632867,Wild
0.1938113,Wild
0.1595278,Wild
0.1523003,Wild
0.1420109,Wild
0.1378605,Wild
0.1559821,Wild
0.1537025,Wild
0.1594843,Wild
0.1764685,Wild
0.185858,Wild
0.1626817,Wild
0.1625226,Wild
0.1708401,Wild
0.1766072,Wild
0.177833,Wild
0.1936408,Wild
0.2102945,Wild
0.2097643,Wild
0.2054291,Wild
0.19023,Wild
0.173685,Wild
0.1908265,Wild
0.1956927,Wild
0.198932,Wild
0.2099673,Wild
0.2091424,Wild
0.208116,Wild
0.1787818,Wild
0.1939015,Wild
0.2006238,Wild
0.2202724,Wild
0.2322507,Wild
0.2336822,Wild
0.2436682,Wild
0.2275026,Wild
0.2110736,Wild
0.1891456,Wild
0.1716677,Wild
0.1792834,Wild
0.1722618,Wild
0.1595117,Wild
0.190012,Wild
0.1938386,Wild
0.1837413,Wild
0.1839233,Wild
0.2167744,Wild
0.2112277,Wild
0.238366,Wild
0.2324621,Wild
0.2126231,Wild
0.2395147,Wild
0.2375783,Wild
0.2055501,Wild
0.2107798,Wild
0.2204642,Wild
0.2620462,Wild
0.2097675,Wild
0.1900056,Wild
0.2048022,Wild
0.1703007,Wild
0.1481183,Wild
0.1510354,Wild
0.1331097,Wild
0.1363061,Wild
0.136462,Wild
0.1375817,Wild
0.1573155,Wild
0.1597075,Wild
0.1813716,Wild
0.1799327,Wild
0.1625109,Wild
0.1959578,Wild
0.16893,Wild
0.1856495,Wild
0.215577,Wild
0.200142,Wild
0.1661284,Wild
0.1712951,Wild
0.1772299,Wild
0.1697893,Wild
0.1942025,Wild
0.1643897,Wild
0.1630176,Wild
0.1593557,Wild
0.1423976,Wild
0.137318,Wild
0.163077,Wild
0.1736046,Wild
0.1911338,Wild
0.1592027,Wild
0.1740973,Wild
0.1626512,Wild
0.1478334,Wild
0.1475776,Wild
0.1438705,Wild
0.143885,Wild
0.1755314,Wild
0.1828566,Wild
0.1570193,Wild
0.1527035,Wild
0.1591982,Wild
0.1517159,Wild
0.1504002,Wild
0.1475907,Wild
0.1374254,Wild
0.1587752,Wild
0.1532611,Wild
0.1634644,Wild
0.1412254,Wild
0.1362681,Wild
0.1646801,Wild
0.1515535,Wild
0.1539094,Wild
0.1581494,Wild
0.168789,Wild
0.1901709,Wild
0.1978859,Wild
0.173638,Wild
0.2038449,Wild
0.2030341,Wild
0.2002064,Wild
0.1636374,Wild
0.1537524,Wild
0.1389964,Wild
0.1534162,Wild
0.1663271,Wild
0.1484879,Wild
0.1759572,Wild
0.190864,Wild
0.2145479,Wild
0.1995584,Wild
0.2089529,Wild
0.2188871,Wild
0.2069657,Wild
0.188187,Wild
0.1787295,Wild
0.19196,Wild
0.1862899,Wild
0.1711779,Wild
0.1636573,Wild
0.1680365,Wild
0.1818894,Wild
0.1728436,Wild
0.1855592,Wild
0.2006649,Wild
0.1647837,Wild
0.1694378,Wild
0.1958457,Wild
0.1860251,Wild
0.1545387,Wild
0.147847,Wild
0.155533,Wild
0.1757982,Wild
0.1760118,Wild
0.1528693,Wild
0.1449137,Wild
0.1381181,Wild
0.1347883,Wild
0.1471899,Wild
0.129038,Wild
0.1448985,Wild
0.1337621,Wild
0.1336325,Wild
0.1320303,Wild
0.1403517,Wild
0.1361454,Wild
0.1347201,Wild
0.1587753,Wild
0.1644681,Wild
0.1762222,Wild
0.1691341,Wild
0.1409462,Wild
0.1516683,Wild
0.1449355,Wild
0.1442015,Wild
0.1482839,Wild
0.1243447,Wild
0.1276682,Wild
0.121601,Wild
0.1334453,Wild
0.1523612,Wild
0.1544278,Wild
0.1541625,Wild
0.1389451,Wild
0.1430242,Wild
0.144174,Wild
0.1562465,Wild
0.1453833,Wild
0.1365085,Wild
0.133384,Wild
0.1489107,Wild
0.140637,Wild
0.1578757,Wild
0.1714742,Wild
0.1766809,Wild
0.1741576,Wild
0.160137,Wild
0.1833376,Wild
0.1691726,Wild
0.1623526,Wild
0.1595085,Wild
0.1623507,Wild
0.1442139,Wild
0.1234949,Wild
0.1407311,Wild
0.1524405,Wild
0.1758275,Wild
